province,province_code,district,district_code,ward,ward_code,address,long,lat
Đắk Lắk,66,Cư M'Gar,648,Ea Kuêh,24264,"Đắk Lắk,Cư M'Gar,Ea Kuêh",108.059293423087,13.014123323401598
Đắk Lắk,66,Cư M'Gar,648,Ea M'DRóh,24283,"Đắk Lắk,Cư M'Gar,Ea M'DRóh",107.972238174601,12.9038971660693
Đắk Lắk,66,Cư M'Gar,648,Ea M'nang,24295,"Đắk Lắk,Cư M'Gar,Ea M'nang",107.994232831077,12.8168273763096
Đắk Lắk,66,Cư M'Gar,648,Ea Tar,24268,"Đắk Lắk,Cư M'Gar,Ea Tar",108.09873866865101,12.9357750411256
Đắk Lắk,66,Cư M'Gar,648,Ea Tul,24277,"Đắk Lắk,Cư M'Gar,Ea Tul",108.171466579039,12.867887447177
Đắk Lắk,66,Cư M'Gar,648,Quảng Hiệp,24286,"Đắk Lắk,Cư M'Gar,Quảng Hiệp",107.963899493617,12.848345409939698
Đắk Lắk,66,Cư M'Gar,648,Quảng Tiến,24262,"Đắk Lắk,Cư M'Gar,Quảng Tiến",108.090477733658,12.817375669293499
Đắk Lắk,66,Cư M'Gar,648,TT. Ea Pốk,24256,"Đắk Lắk,Cư M'Gar,TT. Ea Pốk",108.08279698478701,12.788240114149598
Đắk Lắk,66,Cư M'Gar,648,TT. Quảng Phú,24259,"Đắk Lắk,Cư M'Gar,TT. Quảng Phú",108.08537634490999,12.8245760069733
Đắk Lắk,66,Ea H'Leo,645,Cư A Mung,24194,"Đắk Lắk,Ea H'Leo,Cư A Mung",108.024900614509,13.184516093667
Đắk Lắk,66,Ea H'Leo,645,Cư Mốt,24196,"Đắk Lắk,Ea H'Leo,Cư Mốt",108.106694395523,13.2167859304756
Đắk Lắk,66,Ea H'Leo,645,Dlêi Yang,24205,"Đắk Lắk,Ea H'Leo,Dlêi Yang",108.261296524795,13.1895378678703
Đắk Lắk,66,Ea H'Leo,645,Ea Hiao,24199,"Đắk Lắk,Ea H'Leo,Ea Hiao",108.36728119198601,13.1832615648679
Đắk Lắk,66,Ea H'Leo,645,Ea H'leo,24184,"Đắk Lắk,Ea H'Leo,Ea H'leo",108.094906290881,13.3409003324355
Đắk Lắk,66,Ea H'Leo,645,Ea Khal,24202,"Đắk Lắk,Ea H'Leo,Ea Khal",108.145964161807,13.1728425265925
Đắk Lắk,66,Ea H'Leo,645,Ea Nam,24208,"Đắk Lắk,Ea H'Leo,Ea Nam",108.19501697516199,13.1367085883077
Đắk Lắk,66,Ea H'Leo,645,Ea Ral,24190,"Đắk Lắk,Ea H'Leo,Ea Ral",108.180257604804,13.255530953222001
Đắk Lắk,66,Ea H'Leo,645,Ea Sol,24187,"Đắk Lắk,Ea H'Leo,Ea Sol",108.302772512403,13.2850819542583
Đắk Lắk,66,Ea H'Leo,645,Ea Tir,24207,"Đắk Lắk,Ea H'Leo,Ea Tir",108.061165384757,13.105997964192099
Đắk Lắk,66,Ea H'Leo,645,Ea Wy,24193,"Đắk Lắk,Ea H'Leo,Ea Wy",108.046235201332,13.24361861307
Đắk Lắk,66,Ea H'Leo,645,TT. Ea Drăng,24181,"Đắk Lắk,Ea H'Leo,TT. Ea Drăng",108.20928950371,13.2052570448529
Đắk Lắk,66,Ea Kar,651,Cư Bông,24406,"Đắk Lắk,Ea Kar,Cư Bông",108.61632575670099,12.628279636440599
Đắk Lắk,66,Ea Kar,651,Cư ELang,24404,"Đắk Lắk,Ea Kar,Cư ELang",108.535571780522,12.6276278813115
Đắk Lắk,66,Ea Kar,651,Cư Huê,24385,"Đắk Lắk,Ea Kar,Cư Huê",108.40708888654899,12.834489154636099
Đắk Lắk,66,Ea Kar,651,Cư Jang,24409,"Đắk Lắk,Ea Kar,Cư Jang",108.64611340804501,12.677255677817099
Đắk Lắk,66,Ea Kar,651,Cư Ni,24397,"Đắk Lắk,Ea Kar,Cư Ni",108.50135530965099,12.7578848690935
Đắk Lắk,66,Ea Kar,651,Cư Prông,24401,"Đắk Lắk,Ea Kar,Cư Prông",108.631044172158,12.7426555142785
Đắk Lắk,66,Ea Kar,651,Ea Đar,24391,"Đắk Lắk,Ea Kar,Ea Đar",108.496480803615,12.8067491671355
Đắk Lắk,66,Ea Kar,651,Ea Kmút,24394,"Đắk Lắk,Ea Kar,Ea Kmút",108.453403031007,12.7575725061644
Đắk Lắk,66,Ea Kar,651,Ea Ô,24403,"Đắk Lắk,Ea Kar,Ea Ô",108.517072288419,12.692875455051901
Đắk Lắk,66,Ea Kar,651,Ea Păl,24400,"Đắk Lắk,Ea Kar,Ea Păl",108.564543230533,12.726015600964999
Đắk Lắk,66,Ea Kar,651,Ea Sar,24380,"Đắk Lắk,Ea Kar,Ea Sar",108.499764654759,12.872535871437499
Đắk Lắk,66,Ea Kar,651,Ea Sô,24379,"Đắk Lắk,Ea Kar,Ea Sô",108.58773123651,12.9520819965786
Đắk Lắk,66,Ea Kar,651,Ea Tih,24388,"Đắk Lắk,Ea Kar,Ea Tih",108.575727779156,12.818612165243302
Đắk Lắk,66,Ea Kar,651,TT. Ea Kar,24373,"Đắk Lắk,Ea Kar,TT. Ea Kar",108.455314380859,12.8319066950735
Đắk Lắk,66,Ea Kar,651,TT. Ea Knốp,24376,"Đắk Lắk,Ea Kar,TT. Ea Knốp",108.544586386114,12.8074289186849
Đắk Lắk,66,Ea Kar,651,Xuân Phú,24382,"Đắk Lắk,Ea Kar,Xuân Phú",108.453057919991,12.8692981900333
Đắk Lắk,66,Ea Súp,646,Cư KBang,24226,"Đắk Lắk,Ea Súp,Cư KBang",107.916700979645,13.178700407498699
Đắk Lắk,66,Ea Súp,646,Cư M'Lan,24232,"Đắk Lắk,Ea Súp,Cư M'Lan",107.874913283394,13.036981935810498
Đắk Lắk,66,Ea Súp,646,Ea Bung,24229,"Đắk Lắk,Ea Súp,Ea Bung",107.674561719282,13.114172627556
Đắk Lắk,66,Ea Súp,646,Ea Lê,24223,"Đắk Lắk,Ea Súp,Ea Lê",107.91088956200899,13.119003715360801
Đắk Lắk,66,Ea Súp,646,Ea Rốki,24217,"Đắk Lắk,Ea Súp,Ea Rốki",107.904870856411,13.236748640625901
Đắk Lắk,66,Ea Súp,646,Ia JLơi,24215,"Đắk Lắk,Ea Súp,Ia JLơi",107.86358803538799,13.314915039445902
Đắk Lắk,66,Ea Súp,646,Ia Lốp,24214,"Đắk Lắk,Ea Súp,Ia Lốp",107.72990842445299,13.3160650105695
Đắk Lắk,66,Ea Súp,646,Ia RVê,24221,"Đắk Lắk,Ea Súp,Ia RVê",107.649823813862,13.2245381690096
Đắk Lắk,66,Ea Súp,646,TT. Ea Súp,24211,"Đắk Lắk,Ea Súp,TT. Ea Súp",107.889370306206,13.065453893513
Đắk Lắk,66,Ea Súp,646,Ya Tờ Mốt,24220,"Đắk Lắk,Ea Súp,Ya Tờ Mốt",107.760501361743,13.1683430715505
Đắk Lắk,66,Krông Ana,655,Băng A Drênh,24568,"Đắk Lắk,Krông Ana,Băng A Drênh",108.116586275308,12.5006340124609
Đắk Lắk,66,Krông Ana,655,Bình Hòa,24574,"Đắk Lắk,Krông Ana,Bình Hòa",107.988168772264,12.433181215444
Đắk Lắk,66,Krông Ana,655,Dray Sáp,24556,"Đắk Lắk,Krông Ana,Dray Sáp",107.958922025927,12.5561447670469
Đắk Lắk,66,Krông Ana,655,Dur KMăl,24571,"Đắk Lắk,Krông Ana,Dur KMăl",108.12189064561399,12.4566686130065
Đắk Lắk,66,Krông Ana,655,Ea Bông,24565,"Đắk Lắk,Krông Ana,Ea Bông",108.0610340322,12.5321274678024
Đắk Lắk,66,Krông Ana,655,Ea Na,24559,"Đắk Lắk,Krông Ana,Ea Na",107.986935864206,12.525402032811902
Đắk Lắk,66,Krông Ana,655,Quảng Điền,24577,"Đắk Lắk,Krông Ana,Quảng Điền",108.04045288441,12.433702684803698
Đắk Lắk,66,Krông Ana,655,TT. Buôn Trấp,24538,"Đắk Lắk,Krông Ana,TT. Buôn Trấp",108.035290357761,12.4869615182503
Đắk Lắk,66,Krông Bông,653,Cư Drăm,24484,"Đắk Lắk,Krông Bông,Cư Drăm",108.62428518375401,12.4861321427211
Đắk Lắk,66,Krông Bông,653,Cư KTy,24454,"Đắk Lắk,Krông Bông,Cư KTy",108.355206593602,12.563667028930302
