Ngay,Tinh,Huyen,Xa,Kinh Do,Vi Do
10/08/2020,Nghệ An,Đô Lương,Bài Sơn,105.35153,18.93866
10/08/2020,Nghệ An,Nghĩa Đàn,Nghĩa Lợi,105.57432,19.38827
10/08/2020,Nghệ An,Tân Kỳ,Nghĩa Dũng,105.35962,19.0765
10/08/2020,Nghệ An,Thanh Chương,Thanh Sơn,105.11969,18.75659
10/08/2020,Ninh Bình,Ninh Bình,P. Ninh Phong,105.96564,20.21354
10/08/2020,Ninh Bình,Ninh Bình,P. Ninh Phong,105.97035,20.21436
10/08/2020,Ninh Bình,TX. Tam Điệp,P. Nam Sơn,105.86564,20.13058
10/08/2020,Ninh Bình,Yên Khánh,Khánh Phú,106.023,20.24266
10/08/2020,Phú Yên,Đồng Xuân,Đa Lộc,109.103,13.52
10/08/2020,Phú Yên,Đồng Xuân,Xuân Lãnh,109.09322,13.49874
10/08/2020,Phú Yên,TX. Sông Cầu,Xuân Lâm,109.112,13.522
10/08/2020,Phú Yên,Sơn Hòa,Sơn Hội,109.00696,13.18904
10/08/2020,Hà Nam,Phủ Lý,Kim Bình,105.91516,20.57251
10/08/2020,Hà Nam,Duy Tiên,Bạch Thượng,105.93648,20.66989
10/08/2020,Hà Nam,Thanh Liêm,Thanh Nghị,105.89957,20.40577
10/08/2020,Hải Dương,Kinh Môn,Hiệp Sơn,106.54037,21.00974
10/08/2020,Hải Dương,Kinh Môn,Hiệp Sơn,106.53888,21.00899
10/08/2020,Hải Dương,Kinh Môn,TT. Minh Tân,106.58987,21.03912
10/08/2020,Hà Nội,Thạch Thất,Hữu Bằng,105.61472,21.02153
10/08/2020,Hà Nội,Thanh Oai,Bích Hòa,105.75456,20.9295
10/08/2020,Hưng Yên,Văn Giang,Long Hưng,105.96926,20.94407
10/08/2020,Bắc Ninh,Bắc Ninh,Nam Sơn,106.116,21.156
10/08/2020,Vĩnh Phúc,Bình Xuyên,Đạo Đức,105.67155,21.25281
10/08/2020,Đắk Nông,Cư Jút,Tâm Thắng,107.9192,12.60837
09/08/2020,Quảng Nam,Đại Lộc,Đại Hưng,107.91142,15.88798
09/08/2020,Quảng Nam,Đại Lộc,Đại Hưng,107.912,15.887
09/08/2020,Quảng Nam,Đại Lộc,Đại Hưng,107.922,15.885
09/08/2020,Quảng Nam,Đại Lộc,Đại Sơn,107.86117,15.82157
09/08/2020,Quảng Nam,Đại Lộc,Đại Sơn,107.86708,15.83282
